"Story","Title","Result","Date","Stability","Duration (s)"
"add the product to the shopping cart","the user buys a product that is displayed","ERROR","2023-10-19T21:59:08.0987011-05:00[America/Bogota]","0.0","119.01"
"Login","Try to log in with  credentials","PENDING","2023-10-17T21:25:12.2151351-05:00[America/Bogota]","0.0","0.28"
"Login","Try to log in with credentials","SUCCESS","2023-10-19T21:56:49.8289019-05:00[America/Bogota]","0.0","86.8"
